"";"typ";"label";"conc"
"640";"SFG";"sun flower seed(gr)";14,791317
"641";"FRG";"wheat (ung)";12,1599998
"642";"TTS";"soya meal";53,485714
"643";"FFS";"full fat soya";45,2348671
"644";"CNG";"corn gluten";75,4008255
"645";"CNG";"corn gluten";68,0404816
"646";"FFS";"full fat soya";39,868351
"647";"FFS";"full fat soya";39,5072632
"648";"FRG";"wheat (ung)";11,0699997
"649";"EHH";"grass silage";14,3299999
"650";"CLZ";"rapeseed(ung)";22,4099998
"651";"FRG";"wheat (ung)";11,1899996
"652";"EHH";"grass silage";12,0299997
"653";"TTS";"soya meal";52,2779007
"654";"PEE";"maïs wp";7,1060309
"655";"SFG";"sun flower seed(gr)";13,0969229
"656";"TTS";"soya meal";52,7459946
"657";"CLZ";"rapeseed(ung)";22,7000008
"658";"PEE";"maïs wp";10,04
"659";"CNG";"corn gluten";70,4549179
"660";"MPW";"milk powder & whey";13,6896906
"661";"PEE";"maïs wp";6,8499999
"662";"EHH";"grass silage";14,1999998
"663";"MPW";"milk powder & whey";10,6128006
"664";"SFG";"sun flower seed(gr)";16,3194599
"665";"ANF";"animal feed";55,7631912
"666";"CLZ";"rapeseed(ung)";19,3500004
"667";"MPW";"milk powder & whey";37,0686836
"668";"PEE";"maïs wp";9,0499992
"669";"ANF";"animal feed";52,2460632
"670";"SFG";"sun flower seed(gr)";21,5057716
"671";"CNG";"corn gluten";69,3350906
"672";"MPW";"milk powder & whey";12,8983011
"673";"FFS";"full fat soya";41,5507469
"674";"MPW";"milk powder & whey";38,0312729
"675";"CNG";"corn gluten";65,196228
"676";"CLZ";"rapeseed(ung)";18,9299984
"677";"TTS";"soya meal";53,8724365
"678";"SFG";"sun flower seed(gr)";14,7221107
"679";"EHH";"grass silage";13,8000002
"680";"EHH";"grass silage";10,5699997
"681";"MPW";"milk powder & whey";38,8932762
"682";"MPW";"milk powder & whey";25,8213367
"683";"CLZ";"rapeseed(ung)";26,6299992
"684";"FRG";"wheat (ung)";12,3100004
"685";"EHH";"grass silage";18,75
"686";"MPW";"milk powder & whey";37,2423286
"687";"ANF";"animal feed";47,5631714
"688";"FRG";"wheat (ung)";12,25
"689";"FRG";"wheat (ung)";11,2999992
"690";"PEE";"maïs wp";8,8100004
"691";"ANF";"animal feed";59,7293892
"692";"PEE";"maïs wp";8,79
"693";"SFG";"sun flower seed(gr)";19,6995697
"694";"EHH";"grass silage";15,3999996
"695";"SFG";"sun flower seed(gr)";14,6795921
"696";"TTS";"soya meal";51,7977524
"697";"TTS";"soya meal";52,5951576
"698";"SFG";"sun flower seed(gr)";10,4886084
"699";"EHH";"grass silage";11,6499996
"700";"EHH";"grass silage";9,9700003
"701";"FRG";"wheat (ung)";12,1999998
"702";"CNG";"corn gluten";75,4907074
"703";"SFG";"sun flower seed(gr)";19,3177719
"704";"FRG";"wheat (ung)";13,4269991
"705";"FFS";"full fat soya";40,4377785
"706";"ANF";"animal feed";57,3992043
"707";"SFG";"sun flower seed(gr)";13,0806398
"708";"FFS";"full fat soya";39,8940582
"709";"CNG";"corn gluten";62,24263
"710";"MPW";"milk powder & whey";22,8027878
"712";"CLZ";"rapeseed(ung)";17,6000004
"713";"TTS";"soya meal";47,5917435
"714";"TTS";"soya meal";48,8452682
"715";"MPW";"milk powder & whey";37,5609818
"716";"FRG";"wheat (ung)";12,5500002
"717";"TTS";"soya meal";53,7795105
"718";"FRG";"wheat (ung)";12,2999992
"719";"CLZ";"rapeseed(ung)";18,8799992
"720";"CNG";"corn gluten";62,1658936
"721";"EHH";"grass silage";5,5900002
"722";"EHH";"grass silage";7,6300001
"723";"MPW";"milk powder & whey";37,3248749
"724";"FRG";"wheat (ung)";11,5600004
"725";"CLZ";"rapeseed(ung)";19,0100002
"726";"FRG";"wheat (ung)";12,6000004
"727";"CNG";"corn gluten";66,1656113
"728";"FRG";"wheat (ung)";13,5999994
"729";"MPW";"milk powder & whey";38,0004158
"730";"CLZ";"rapeseed(ung)";19,0900002
"731";"FFS";"full fat soya";36,3792534
"732";"TTS";"soya meal";54,1905861
"733";"CLZ";"rapeseed(ung)";16,2000008
"734";"FFS";"full fat soya";40,6517334
"735";"CNG";"corn gluten";65,9732971
"736";"PEE";"maïs wp";8,9499998
"737";"EHH";"grass silage";17,8999996
"738";"SFG";"sun flower seed(gr)";14,447567
"739";"TTS";"soya meal";54,3454323
"740";"TTS";"soya meal";52,2883301
"741";"ANF";"animal feed";50,0635185
"742";"MPW";"milk powder & whey";23,8990746
"743";"PEE";"maïs wp";5,77
"744";"FFS";"full fat soya";42,0403709
"745";"TTS";"soya meal";56,6820259
"746";"SFG";"sun flower seed(gr)";15,8876772
"747";"CNG";"corn gluten";68,5294418
"748";"TTS";"soya meal";49,5485344
"749";"EHH";"grass silage";15,9399996
"750";"SFG";"sun flower seed(gr)";21,0237274
"751";"CLZ";"rapeseed(ung)";20,3600006
"752";"CNG";"corn gluten";62,3791351
"753";"MPW";"milk powder & whey";37,1704369
"754";"MPW";"milk powder & whey";14,4700317
"755";"TTS";"soya meal";54,926384
"756";"SFG";"sun flower seed(gr)";11,4379139
"757";"ANF";"animal feed";48,2015381
"758";"CLZ";"rapeseed(ung)";22,3959427
"759";"FRG";"wheat (ung)";14,1000004
"760";"ANF";"animal feed";51,0935593
"761";"TTS";"soya meal";54,4520569
"762";"SFG";"sun flower seed(gr)";17,4115467
"763";"TTS";"soya meal";52,6018105
"764";"SFG";"sun flower seed(gr)";17,5032673
"765";"TTS";"soya meal";51,7795639
"766";"SFG";"sun flower seed(gr)";18,1186676
"767";"TTS";"soya meal";51,0783195
"768";"MPW";"milk powder & whey";35,9734535
"769";"FFS";"full fat soya";40,6381111
"770";"PEE";"maïs wp";6,6199999
"771";"FRG";"wheat (ung)";12,46
"772";"MPW";"milk powder & whey";5,1135402
"773";"EHH";"grass silage";16,8299999
"774";"FRG";"wheat (ung)";12,5
"775";"TTS";"soya meal";51,3574638
"776";"ANF";"animal feed";46,0873756
"777";"FFS";"full fat soya";39,6865005
"778";"EHH";"grass silage";26,2900009
"779";"CLZ";"rapeseed(ung)";23,8246002
"780";"FFS";"full fat soya";40,3308067
"781";"MPW";"milk powder & whey";24,4033279
"782";"EHH";"grass silage";18,0100002
"783";"TTS";"soya meal";50,2227173
"784";"TTS";"soya meal";52,7459946
"785";"FFS";"full fat soya";43,0665245
"786";"ANF";"animal feed";54,6459846
"787";"PEE";"maïs wp";7,6300001
"788";"CLZ";"rapeseed(ung)";16,9899998
"789";"FRG";"wheat (ung)";10,8599997
"791";"FFS";"full fat soya";39,4650993
"792";"CLZ";"rapeseed(ung)";17,5599995
"793";"CNG";"corn gluten";63,2387505
"794";"TTS";"soya meal";54,420208
"795";"CLZ";"rapeseed(ung)";24,4799995
"796";"EHH";"grass silage";10,0200005
"798";"EHH";"grass silage";6,04
"799";"FRG";"wheat (ung)";13,21
"800";"ANF";"animal feed";57,7176476
"801";"FRG";"wheat (ung)";13,0999994
"802";"CNG";"corn gluten";67,2663879
"803";"FFS";"full fat soya";39,5931511
"804";"EHH";"grass silage";26,0400009
"805";"TTS";"soya meal";53,2293968
"806";"CLZ";"rapeseed(ung)";21,8999996
"807";"ANF";"animal feed";53,0239563
"808";"FFS";"full fat soya";39,0554199
"809";"CNG";"corn gluten";68,3551559
"810";"FFS";"full fat soya";39,4129219
"811";"CLZ";"rapeseed(ung)";23,7000008
"812";"CNG";"corn gluten";70,3251038
"813";"ANF";"animal feed";58,4318924
"814";"MPW";"milk powder & whey";13,0371504
"815";"SFG";"sun flower seed(gr)";13,2830973
"816";"FRG";"wheat (ung)";12,3000002
"817";"EHH";"grass silage";8,6000004
"818";"CLZ";"rapeseed(ung)";18,5499992
"819";"ANF";"animal feed";53,7811737
"820";"ANF";"animal feed";55,5043106
"821";"CNG";"corn gluten";67,3839569
"822";"TTS";"soya meal";51,2643661
"823";"FRG";"wheat (ung)";13,29
"824";"SFG";"sun flower seed(gr)";21,5509758
"826";"FRG";"wheat (ung)";10,5273066
"827";"FRG";"wheat (ung)";12,4200001
"828";"PEE";"maïs wp";7,8400002
"829";"ANF";"animal feed";51,1266098
"830";"EHH";"grass silage";20
"831";"FFS";"full fat soya";38,706131
"832";"PEE";"maïs wp";7,9299998
"833";"SFG";"sun flower seed(gr)";12,710104
"834";"FFS";"full fat soya";40,930172
"835";"ANF";"animal feed";50,8789101
"836";"ANF";"animal feed";55,583519
"837";"SFG";"sun flower seed(gr)";22,7646084
"838";"TTS";"soya meal";53,0285721
"839";"FRG";"wheat (ung)";10,2700005
"840";"CNG";"corn gluten";68,6627731
"841";"FRG";"wheat (ung)";12,1999998
"842";"FFS";"full fat soya";41,6071129
"843";"PEE";"maïs wp";9,7599993
"844";"SFG";"sun flower seed(gr)";15,3301964
"845";"FFS";"full fat soya";39,6109734
"846";"PEE";"maïs wp";5,8899999
"847";"MPW";"milk powder & whey";38,9439964
"848";"TTS";"soya meal";49,8277855
"849";"ANF";"animal feed";58,3192787
"850";"CNG";"corn gluten";67,6064224
"851";"CLZ";"rapeseed(ung)";18,9699993
"852";"MPW";"milk powder & whey";38,4354553
"853";"PEE";"maïs wp";8,46
"854";"TTS";"soya meal";52,2883301
"855";"PEE";"maïs wp";7,54
"856";"FFS";"full fat soya";40,0091248
"857";"FRG";"wheat (ung)";10,8999996
"858";"CNG";"corn gluten";65,2585526
"859";"CLZ";"rapeseed(ung)";22,4200001
"860";"ANF";"animal feed";50,7575073
"861";"CNG";"corn gluten";64,7921906
"862";"FFS";"full fat soya";41,0709648
"863";"SFG";"sun flower seed(gr)";15,0009298
"864";"CNG";"corn gluten";65,9883728
"865";"ANF";"animal feed";51,2146721
"866";"CLZ";"rapeseed(ung)";18,3400002
"867";"FFS";"full fat soya";40,8974037
"868";"TTS";"soya meal";55,2305946
"869";"FFS";"full fat soya";46,7363396
"870";"SFG";"sun flower seed(gr)";17,1064129
"871";"PEE";"maïs wp";7,21
"872";"CLZ";"rapeseed(ung)";24,6999989
"873";"TTS";"soya meal";50,0564957
"874";"PEE";"maïs wp";7,8699999
"875";"MPW";"milk powder & whey";35,4333763
"876";"TTS";"soya meal";50,0567551
"877";"CLZ";"rapeseed(ung)";25,7000008
"878";"CNG";"corn gluten";66,1921844
"879";"PEE";"maïs wp";7,7799997
"880";"TTS";"soya meal";52,1191292
"881";"TTS";"soya meal";51,25
"882";"TTS";"soya meal";58,0645142
"883";"ANF";"animal feed";58,3325615
"884";"CNG";"corn gluten";71,3346176
"885";"PEE";"maïs wp";7,0799999
"886";"TTS";"soya meal";53,1772575
"887";"FRG";"wheat (ung)";12,4200001
"888";"EHH";"grass silage";9,7299995
"889";"FRG";"wheat (ung)";9,8000002
"890";"ANF";"animal feed";53,6009064
"891";"PEE";"maïs wp";10,8199997
"892";"SFG";"sun flower seed(gr)";14,8450508
"893";"ANF";"animal feed";53,5962219
"894";"SFG";"sun flower seed(gr)";16,8126888
"895";"TTS";"soya meal";55,0808334
"896";"MPW";"milk powder & whey";13,5498028
"897";"EHH";"grass silage";17,2600002
"898";"CLZ";"rapeseed(ung)";23,5599995
"899";"TTS";"soya meal";54,2857132
"900";"CNG";"corn gluten";65,9781189
"901";"TTS";"soya meal";51,363636
"902";"FRG";"wheat (ung)";11,1000004
"903";"CNG";"corn gluten";66,8635559
"904";"FRG";"wheat (ung)";9,1199999
"905";"SFG";"sun flower seed(gr)";21,9263325
"906";"FFS";"full fat soya";41,0134659
"907";"ANF";"animal feed";53,1896172
"908";"FFS";"full fat soya";42,1492462
"909";"SFG";"sun flower seed(gr)";15,5116491
"910";"TTS";"soya meal";53,9792404
"911";"MPW";"milk powder & whey";37,8452721
"912";"EHH";"grass silage";9,2299995
"913";"FFS";"full fat soya";39,5834579
"914";"TTS";"soya meal";51,2471657
"915";"FFS";"full fat soya";42,1612434
"916";"SFG";"sun flower seed(gr)";12,6475334
"917";"FFS";"full fat soya";47,4723473
"918";"MPW";"milk powder & whey";24,390173
"919";"MPW";"milk powder & whey";11,6459494
"920";"FFS";"full fat soya";38,5196381
"921";"FRG";"wheat (ung)";13,6000004
"922";"TTS";"soya meal";52,8344688
"923";"CLZ";"rapeseed(ung)";19,4899998
"924";"ANF";"animal feed";56,5279655
"925";"TTS";"soya meal";50,3694229
"926";"TTS";"soya meal";55,0691223
"927";"EHH";"grass silage";20,6000004
"928";"MPW";"milk powder & whey";25,7194309
"929";"FRG";"wheat (ung)";13,1700001
"930";"PEE";"maïs wp";7,54
"931";"FFS";"full fat soya";39,7798767
"932";"SFG";"sun flower seed(gr)";13,3479643
"933";"PEE";"maïs wp";7,9899998
"934";"CNG";"corn gluten";66,9738693
"935";"CLZ";"rapeseed(ung)";19,8500004
"936";"CLZ";"rapeseed(ung)";23,2699986
"937";"FFS";"full fat soya";39,1945992
"938";"EHH";"grass silage";12,3199997
"939";"MPW";"milk powder & whey";11,4435644
"940";"SFG";"sun flower seed(gr)";18,2280693
"941";"FFS";"full fat soya";41,1465683
"942";"TTS";"soya meal";52,7777786
"943";"FRG";"wheat (ung)";13,5699997
"944";"TTS";"soya meal";50,9153328
"945";"TTS";"soya meal";53,7058182
"946";"TTS";"soya meal";54,7646408
"947";"ANF";"animal feed";54,3040848
"948";"FFS";"full fat soya";38,5723648
"949";"MPW";"milk powder & whey";22,1581936
"950";"EHH";"grass silage";26,6499996
"951";"MPW";"milk powder & whey";5,284667
"952";"EHH";"grass silage";18,9899998
"954";"PEE";"maïs wp";8,5699997
"955";"PEE";"maïs wp";8,3999996
"956";"FRG";"wheat (ung)";13,4799995
"957";"FFS";"full fat soya";40,410183
"958";"FFS";"full fat soya";39,6162071
"959";"TTS";"soya meal";53,4273987
"960";"TTS";"soya meal";54,9714279
"961";"CNG";"corn gluten";65,2548981
"962";"MPW";"milk powder & whey";33,6453438
"963";"ANF";"animal feed";53,3444824
"964";"EHH";"grass silage";11,0299997
"965";"CNG";"corn gluten";66,2512131
"966";"PEE";"maïs wp";6,29
"967";"CNG";"corn gluten";64,8080292
"968";"SFG";"sun flower seed(gr)";25,078331
"969";"PEE";"maïs wp";7,9784575
"970";"MPW";"milk powder & whey";35,8267593
"971";"ANF";"animal feed";54,9650955
"972";"CNG";"corn gluten";66,3938522
"974";"FFS";"full fat soya";38,0761223
"975";"FFS";"full fat soya";45,116291
"976";"PEE";"maïs wp";6,5999999
"977";"CLZ";"rapeseed(ung)";22,6000004
"978";"EHH";"grass silage";14,1199999
"979";"SFG";"sun flower seed(gr)";11,955698
"980";"SFG";"sun flower seed(gr)";15,2298136
"981";"EHH";"grass silage";9,5699997
"982";"CLZ";"rapeseed(ung)";20,3799992
"983";"ANF";"animal feed";50,9077682
"984";"CLZ";"rapeseed(ung)";25,2800007
"985";"EHH";"grass silage";22,0200005
"986";"FFS";"full fat soya";39,4619675
"987";"ANF";"animal feed";52,5565376
"988";"MPW";"milk powder & whey";24,1989555
"989";"TTS";"soya meal";53,8461533
"990";"FFS";"full fat soya";39,9845467
"991";"SFG";"sun flower seed(gr)";18,0430355
"992";"PEE";"maïs wp";9,7799997
"993";"SFG";"sun flower seed(gr)";21,2648354
"994";"CLZ";"rapeseed(ung)";20,4899998
"995";"PEE";"maïs wp";9,1299992
"996";"FRG";"wheat (ung)";12,1999998
"997";"EHH";"grass silage";11,4799995
"998";"CLZ";"rapeseed(ung)";21,2700005
"999";"ANF";"animal feed";49,8403702
"1001";"FRG";"wheat (ung)";11
"1002";"FFS";"full fat soya";39,5562439
"1003";"TTS";"soya meal";52,0501137
"1004";"TTS";"soya meal";53,0635834
"1005";"TTS";"soya meal";52,6980476
"1006";"PEE";"maïs wp";5,6599998
"1007";"EHH";"grass silage";17,0599995
"1008";"FFS";"full fat soya";41,5787773
"1009";"MPW";"milk powder & whey";34,707943
"1010";"TTS";"soya meal";52,4239044
"1011";"PEE";"maïs wp";8,3400002
"1012";"FFS";"full fat soya";38,8083229
"1014";"SFG";"sun flower seed(gr)";15,4951506
"1015";"FFS";"full fat soya";39,7682838
"1016";"EHH";"grass silage";25,9234142
"1017";"PEE";"maïs wp";7,4699998
"1018";"PEE";"maïs wp";6,7679572
"1019";"PEE";"maïs wp";6,1300001
"1020";"TTS";"soya meal";54,9019623
"1021";"FFS";"full fat soya";40,0326424
"1022";"FFS";"full fat soya";37,994278
"1023";"FRG";"wheat (ung)";13,0900002
"1024";"PEE";"maïs wp";7,2199998
"1025";"CLZ";"rapeseed(ung)";21,1499996
"1026";"EHH";"grass silage";23,4399986
"1027";"EHH";"grass silage";12,6700001
"1028";"SFG";"sun flower seed(gr)";15,2629175
"1029";"FFS";"full fat soya";38,5660934
"1030";"ANF";"animal feed";53,1605988
"1031";"FFS";"full fat soya";41,9081192
"1032";"TTS";"soya meal";50,3972778
"1033";"PEE";"maïs wp";8,8999996
"1034";"CNG";"corn gluten";69,6705322
"1035";"CLZ";"rapeseed(ung)";21,8899994
"1036";"MPW";"milk powder & whey";38,2021408
"1037";"TTS";"soya meal";53,7142868
"1038";"EHH";"grass silage";17,8700008
"1039";"TTS";"soya meal";49,0417137
"1040";"TTS";"soya meal";53,8461571
"1041";"CNG";"corn gluten";64,3942108
"1042";"FFS";"full fat soya";45,4177818
"1043";"SFG";"sun flower seed(gr)";13,1135368
"1044";"PEE";"maïs wp";7,8499999
"1045";"MPW";"milk powder & whey";10,874608
"1046";"FFS";"full fat soya";38,3018723
"1047";"FFS";"full fat soya";39,9253426
"1048";"EHH";"grass silage";11,8000002
"1049";"PEE";"maïs wp";12,4399996
"1050";"CNG";"corn gluten";65,1480255
"1051";"FFS";"full fat soya";39,5781708
"1052";"TTS";"soya meal";54,4937401
"1053";"FRG";"wheat (ung)";13,6700001
"1054";"FFS";"full fat soya";36,0349541
"1055";"CNG";"corn gluten";69,4595642
"1056";"TTS";"soya meal";52,0270271
"1057";"TTS";"soya meal";53,1214523
"1058";"FRG";"wheat (ung)";15,0299997
"1059";"ANF";"animal feed";49,6517487
"1060";"MPW";"milk powder & whey";12,4462357
"1061";"CNG";"corn gluten";67,9371262
"1062";"FRG";"wheat (ung)";11,6099997
"1063";"CNG";"corn gluten";70,672348
"1064";"EHH";"grass silage";15,6800003
"1065";"ANF";"animal feed";50,2536926
"1066";"FRG";"wheat (ung)";12,46
"1067";"PEE";"maïs wp";6,3850584
"1068";"FFS";"full fat soya";39,6255379
"1069";"FRG";"wheat (ung)";11,5
"1070";"TTS";"soya meal";47,3081322
"1072";"FFS";"full fat soya";39,8770065
"1073";"FRG";"wheat (ung)";12,7299995
"1074";"PEE";"maïs wp";8,4499998
"1075";"PEE";"maïs wp";8,0166092
"1076";"MPW";"milk powder & whey";38,7644119
"1077";"FFS";"full fat soya";40,8659401
"1078";"CLZ";"rapeseed(ung)";20,6599998
"1079";"TTS";"soya meal";56,0810776
"1080";"PEE";"maïs wp";7,9400001
"1081";"CNG";"corn gluten";70,6387177
"1082";"FFS";"full fat soya";37,2498093
"1083";"ANF";"animal feed";56,1520157
"1084";"EHH";"grass silage";19,0599995
"1085";"FFS";"full fat soya";40,2665215
"1086";"FFS";"full fat soya";40,4688568
"1087";"CNG";"corn gluten";67,4048462
"1088";"FFS";"full fat soya";38,0808487
"1089";"MPW";"milk powder & whey";23,8798561
"1090";"TTS";"soya meal";51,7714272
"1091";"MPW";"milk powder & whey";37,3862267
"1092";"CNG";"corn gluten";69,1518631
"1093";"FFS";"full fat soya";40,9874954
"1094";"PEE";"maïs wp";7,8800001
"1095";"ANF";"animal feed";46,9112587
"1096";"FRG";"wheat (ung)";11,1000004
"1097";"FFS";"full fat soya";45,0825424
"1098";"EHH";"grass silage";12,2799997
"1099";"MPW";"milk powder & whey";10,8723269
"1100";"TTS";"soya meal";53,1772575
"1101";"EHH";"grass silage";12,6400003
"1102";"MPW";"milk powder & whey";11,9355478
"1103";"SFG";"sun flower seed(gr)";12,850316
"1104";"CLZ";"rapeseed(ung)";23,4400005
"1106";"TTS";"soya meal";54,465271
"1107";"MPW";"milk powder & whey";26,3187656
"1108";"SFG";"sun flower seed(gr)";13,4610081
"1109";"FFS";"full fat soya";40,8167381
"1110";"FRG";"wheat (ung)";11,8000002
"1111";"CNG";"corn gluten";72,5933533
"1112";"PEE";"maïs wp";6,5
"1113";"TTS";"soya meal";52,4027443
"1114";"FRG";"wheat (ung)";12,3900003
"1115";"CLZ";"rapeseed(ung)";24,4699993
"1116";"FFS";"full fat soya";39,9312744
"1117";"PEE";"maïs wp";9,29
"1118";"MPW";"milk powder & whey";38,7973289
"1119";"SFG";"sun flower seed(gr)";20,6235352
"1120";"TTS";"soya meal";54,4937401
"1121";"CLZ";"rapeseed(ung)";19,2299995
"1122";"CNG";"corn gluten";68,3879166
"1123";"EHH";"grass silage";19,9299984
"1124";"CNG";"corn gluten";69,2708359
"1125";"ANF";"animal feed";51,0766144
"1126";"EHH";"grass silage";25,7480659
"1127";"CLZ";"rapeseed(ung)";21,8999996
"1128";"PEE";"maïs wp";6,0100002
"1129";"ANF";"animal feed";57,2147751
"1130";"SFG";"sun flower seed(gr)";13,9191608
"1131";"EHH";"grass silage";25,1599998
"1132";"FFS";"full fat soya";39,7040825
"1133";"MPW";"milk powder & whey";14,2614937
"1134";"MPW";"milk powder & whey";37,8520584
"1135";"EHH";"grass silage";18,7599983
"1136";"FFS";"full fat soya";39,3456116
"1137";"MPW";"milk powder & whey";37,6967201
"1138";"FRG";"wheat (ung)";14,6499996
"1139";"PEE";"maïs wp";7,2999997
"1140";"FFS";"full fat soya";42,7641373
"1141";"TTS";"soya meal";53,6585388
"1142";"FRG";"wheat (ung)";12,5
"1144";"TTS";"soya meal";52,1142845
"1145";"FFS";"full fat soya";40,2833061
"1146";"EHH";"grass silage";13,9200001
"1147";"CLZ";"rapeseed(ung)";23,1200008
"1148";"CLZ";"rapeseed(ung)";20,7900009
"1149";"CNG";"corn gluten";69,3182983
"1150";"ANF";"animal feed";57,0667381
"1151";"SFG";"sun flower seed(gr)";21,9539928
"1152";"CLZ";"rapeseed(ung)";21,8699989
"1153";"MPW";"milk powder & whey";28,0347824
"1154";"FRG";"wheat (ung)";12,6999998
"1155";"ANF";"animal feed";53,9511757
"1156";"EHH";"grass silage";12,2299995
"1157";"TTS";"soya meal";52,7497215
"1158";"FRG";"wheat (ung)";11,8000002
"1159";"TTS";"soya meal";55,8219185
"1160";"ANF";"animal feed";46,1647224
"1161";"SFG";"sun flower seed(gr)";16,6188927
"1162";"MPW";"milk powder & whey";26,9680672
"1163";"FFS";"full fat soya";38,6959763
"1164";"CLZ";"rapeseed(ung)";26,4500008
"1165";"SFG";"sun flower seed(gr)";18,8859806
"1166";"MPW";"milk powder & whey";21,7259369
"1167";"TTS";"soya meal";51,1784515
"1168";"FRG";"wheat (ung)";13,0500002
"1169";"TTS";"soya meal";52,5423737
"1170";"CLZ";"rapeseed(ung)";23,5900002
"1171";"PEE";"maïs wp";9,1899996
"1172";"TTS";"soya meal";51,1972656
"1173";"MPW";"milk powder & whey";10,7225914
"1174";"SFG";"sun flower seed(gr)";17,2887745
"1175";"SFG";"sun flower seed(gr)";12,7605162
"1176";"CNG";"corn gluten";67,0014114
"1177";"TTS";"soya meal";51,4124298
"1178";"CLZ";"rapeseed(ung)";21,3999996
"1179";"FFS";"full fat soya";44,8944168
"1180";"SFG";"sun flower seed(gr)";18,7903938
"1181";"ANF";"animal feed";55,1352196
"1182";"TTS";"soya meal";52,9885063
"1183";"EHH";"grass silage";9,1000004
"1184";"SFG";"sun flower seed(gr)";20,2610741
"1185";"CLZ";"rapeseed(ung)";25,1619053
"1186";"CNG";"corn gluten";70,1358871
"1187";"MPW";"milk powder & whey";11,4902277
"1188";"EHH";"grass silage";14,0799999
"1189";"ANF";"animal feed";54,0248337
"1190";"CLZ";"rapeseed(ung)";20,2199993
"1191";"EHH";"grass silage";13,8299999
"1192";"ANF";"animal feed";59,0539474
"1193";"TTS";"soya meal";54,4819565
"1194";"SFG";"sun flower seed(gr)";15,8788795
"1195";"FRG";"wheat (ung)";12,0600004
"1196";"CNG";"corn gluten";65,2980423
"1197";"MPW";"milk powder & whey";12,3677378
"1198";"SFG";"sun flower seed(gr)";20,2524204
"1199";"EHH";"grass silage";10,2799997
"1200";"CNG";"corn gluten";73,5702286
"1202";"MPW";"milk powder & whey";22,5673752
"1203";"TTS";"soya meal";53,6332207
"1204";"ANF";"animal feed";51,9790459
"1205";"CNG";"corn gluten";71,2131042
"1206";"FRG";"wheat (ung)";11,4499998
"1207";"CNG";"corn gluten";67,3247833
"1208";"TTS";"soya meal";51,5185585
"1209";"PEE";"maïs wp";7,3800001
"1210";"ANF";"animal feed";52,6698685
"1211";"SFG";"sun flower seed(gr)";22,2173462
"1212";"SFG";"sun flower seed(gr)";24,8890877
"1214";"MPW";"milk powder & whey";34,635685
"1215";"EHH";"grass silage";21,1599998
"1216";"MPW";"milk powder & whey";36,115921
"1217";"CNG";"corn gluten";64,0183029
"1218";"TTS";"soya meal";52,9076424
"1220";"CLZ";"rapeseed(ung)";20,2600002
"1221";"PEE";"maïs wp";7,5799999
"1222";"MPW";"milk powder & whey";11,3941593
"1223";"CNG";"corn gluten";66,5218658
"1224";"CLZ";"rapeseed(ung)";17,8600006
"1225";"CNG";"corn gluten";71,8090057
"1226";"FFS";"full fat soya";40,8940964
"1227";"PEE";"maïs wp";7,6700001
"1228";"ANF";"animal feed";53,6484375
"1230";"FRG";"wheat (ung)";14,1657
"1231";"SFG";"sun flower seed(gr)";10,671217
"1232";"CNG";"corn gluten";75,4802856
"1233";"FRG";"wheat (ung)";10,8100004
"1234";"ANF";"animal feed";56,7233963
"1235";"MPW";"milk powder & whey";39,050293
"1236";"ANF";"animal feed";50,7003403
"1237";"CLZ";"rapeseed(ung)";22,1800003
"1238";"FRG";"wheat (ung)";12,2589998
"1239";"SFG";"sun flower seed(gr)";20,7013321
"1240";"FRG";"wheat (ung)";9,6000004
"1241";"FFS";"full fat soya";44,9372253
"1242";"PEE";"maïs wp";6,9899998
"1243";"MPW";"milk powder & whey";25,8317184
"1244";"FRG";"wheat (ung)";12,4700003
"1245";"EHH";"grass silage";12,6099997
"1247";"ANF";"animal feed";51,6579895
"1248";"CNG";"corn gluten";68,5433502
"1249";"FRG";"wheat (ung)";12,7200003
"1251";"PEE";"maïs wp";7,4599996
"1252";"PEE";"maïs wp";8,1800003
"1253";"EHH";"grass silage";12,4799995
"1254";"EHH";"grass silage";28,0599995
"1255";"FFS";"full fat soya";37,605648
"1256";"CNG";"corn gluten";66,3894882
"1257";"SFG";"sun flower seed(gr)";17,2090588
"1258";"FRG";"wheat (ung)";11,1999998
"1259";"PEE";"maïs wp";8,0599995
"1260";"CLZ";"rapeseed(ung)";18,7999992
"1261";"FRG";"wheat (ung)";12,3000002
"1262";"SFG";"sun flower seed(gr)";21,9938583
"1263";"CNG";"corn gluten";70,7227097
"1264";"ANF";"animal feed";53,820015
"1265";"ANF";"animal feed";49,7067871
"1266";"ANF";"animal feed";53,7776108
"1267";"TTS";"soya meal";51,0783195
"1268";"FRG";"wheat (ung)";14,8999996
"1269";"CLZ";"rapeseed(ung)";26,8099995
"1270";"TTS";"soya meal";52,2573357
"1271";"MPW";"milk powder & whey";37,022377
"1272";"EHH";"grass silage";7,0900002
"1273";"CLZ";"rapeseed(ung)";23,6000004
"1274";"TTS";"soya meal";55,3571434
"1276";"TTS";"soya meal";51,6055069
"1277";"MPW";"milk powder & whey";28,5435677
"1278";"FFS";"full fat soya";40,1957397
"1279";"MPW";"milk powder & whey";23,48699
"1280";"EHH";"grass silage";16,7800007
"1281";"EHH";"grass silage";7,54
"1282";"CLZ";"rapeseed(ung)";24,0599995
"1283";"FRG";"wheat (ung)";11,3500004
"1284";"FFS";"full fat soya";39,5636063
